指标,股票代码,nan,2025-09-30,2025-06-30,2024-12-31,2024-09-30,2025-03-31
ROE,600076,,-4.97,-3.47,-1.15,-8.32
净利率,600076,,-69.2101,-73.3703,-81.5288,-56.2234
毛利率,600076,,--,--,--,--
净利,600076,,-2.8415,-1.9748,-0.6894,-4.9064
负债率,600076,,42.518,43.5743,39.7642,39.7565
流动比,600076,,3.0168,2.1866,2.5928,2.3659
速动比,600076,,0.3343,0.3343,0.2189,0.2351
存货周转,600076,,0.0897,0.0609,0.0191,0.1728
应收周转,600076,,3.5177,1.8677,0.7982,7.2233
BVPS,002501,,0.0784,0.087,0.0968,0.1033
ROE,002501,,-33.54,-19.61,-6.43,-204.58
净利率,002501,,-45.5045,-59.9531,-44.0737,-215.663
毛利率,002501,,--,--,--,--
净利,002501,,-9.2732,-6.2676,-2.1851,-55.2705
负债率,002501,,72.1223,67.1254,62.8118,60.596
流动比,002501,,0.6631,0.567,0.6583,0.6958
速动比,002501,,0.557,0.4131,0.4592,0.5372
存货周转,002501,,4.9471,2.1496,0.9241,6.9704
应收周转,002501,,1.6136,1.2827,0.6203,3.5688
BVPS,000863,,3.4243,3.4261,3.4334,3.4277
ROE,000863,,0.16,0.13,0.35,0.43
净利率,000863,,-0.6579,-0.4818,3.024,-3.2351
毛利率,000863,,--,--,--,--
净利,000863,,-0.0652,-0.0302,0.1104,-0.5954
负债率,000863,,31.2504,31.3114,32.9301,33.9289
流动比,000863,,3.0283,2.9597,2.8126,2.6667
速动比,000863,,0.3495,0.2935,0.3312,0.2941
存货周转,000863,,0.0848,0.0522,0.0317,0.1433
应收周转,000863,,8.1856,5.4487,3.0826,16.5052
BVPS,002596,,0.5517,0.5625,0.6062,0.6206
ROE,002596,,-12.15,-9.98,-2.3,-32.23
净利率,002596,,-8.8475,-10.779,-5.9013,-19.6746
毛利率,002596,,--,--,--,--
净利,002596,,-2.3762,-1.9872,-0.4902,-6.9497
负债率,002596,,80.3193,80.3118,78.9104,79.2754
流动比,002596,,1.2643,1.2732,1.6609,1.6175
速动比,002596,,1.2541,1.2633,1.6439,1.6028
存货周转,002596,,35.3803,24.4632,9.6659,27.0206
应收周转,002596,,0.5444,0.3743,0.17,0.7408
BVPS,603817,,5.7426,5.6645,5.5559,5.4628
ROE,603817,,6.05,3.96,1.48,6.8
净利率,603817,,18.2128,18.3803,15.7197,12.2963
毛利率,603817,,--,--,--,--
净利,603817,,2.6532,1.7592,0.6234,2.3095
负债率,603817,,53.2448,52.9062,56.655,56.8244
流动比,603817,,1.108,1.0577,1.1658,1.0693
速动比,603817,,1.0982,1.0476,1.1584,1.0606
存货周转,603817,,28.0152,19.6997,9.0937,41.7944
应收周转,603817,,1.3316,0.8171,0.3581,1.3217
BVPS,002644,,3.6148,3.6009,3.5936,3.5542
ROE,002644,,2.09,1.66,1.07,3.36
净利率,002644,,5.9522,6.9746,9.3114,6.291
毛利率,002644,,--,--,--,--
净利,002644,,1.4877,1.2075,0.823,2.4677
负债率,002644,,26.8631,26.1643,24.1933,26.5127
流动比,002644,,3.104,3.2007,3.6298,3.2178
速动比,002644,,2.3159,2.3131,2.6647,2.3224
存货周转,002644,,1.2388,0.8197,0.4347,1.9177
应收周转,002644,,1.9393,1.3272,0.6809,3.2997
BVPS,601106,,0.98,0.9762,0.9692,0.8332
ROE,601106,,-1.49,-1.99,-1.57,-69.83
净利率,601106,,-0.0934,-0.6561,-0.5879,-23.1332
毛利率,601106,,--,--,--,--
净利,601106,,-0.0155,-0.0786,-0.0337,-9.6141
负债率,601106,,82.5375,82.4581,82.7672,85.7067
流动比,601106,,1.145,1.1333,1.0475,0.9906
速动比,601106,,0.7517,0.7284,0.6861,0.6507
存货周转,601106,,0.7051,0.4977,0.2658,2.0631
应收周转,601106,,1.9347,1.3605,0.6667,3.8917
BVPS,603023,,1.4017,1.4025,1.4042,1.3956
ROE,603023,,0.09,0.07,0.1,0.66
净利率,603023,,-0.7041,-0.4283,1.7052,7.7496
毛利率,603023,,--,--,--,--
净利,603023,,-0.0862,-0.0357,0.0729,0.6033
负债率,603023,,14.7392,12.0125,12.913,11.3786
流动比,603023,,6.1631,7.9541,8.4312,7.531
速动比,603023,,5.1047,6.8218,7.2735,6.5232
存货周转,603023,,0.8403,0.6427,0.3404,0.5472
应收周转,603023,,2.5368,1.7704,1.0389,2.3552
BVPS,002105,,2.4754,2.5166,2.572,2.5783
ROE,002105,,-3.58,-1.84,-0.25,-2.16
净利率,002105,,-3.7482,-2.9491,-0.8493,-1.6392
毛利率,002105,,--,--,--,--
净利,002105,,-1.9432,-1.0188,-0.1522,-1.1419
负债率,002105,,43.3553,43.6179,43.9682,44.9614
流动比,002105,,1.6515,1.6663,1.6171,1.5812
速动比,002105,,1.3299,1.3643,1.3051,1.2148
存货周转,002105,,3.7539,2.553,1.2832,4.6538
应收周转,002105,,2.9763,1.9543,1.0304,4.497
BVPS,000917,,8.0232,7.9462,7.9844,7.973
ROE,000917,,1.27,0.39,0.03,0.93
净利率,000917,,6.9,5.4094,2.2431,6.1753
毛利率,000917,,--,--,--,--
净利,000917,,1.3249,0.6383,0.1238,1.4181
负债率,000917,,30.8181,32.0054,31.9131,32.6706
流动比,000917,,2.4801,1.8471,1.3946,1.2307
